transaction_id,transaction_date,store_id,product_id,customer_id,quantity,unit_price,total_amount,payment_method
T002900,2025-07-10,S007,P014,C0175,1,3156.0,3156.0,UPI
T001276,2025-07-10,S008,P014,C0003,3,3156.0,9468.0,UPI
T002637,2025-07-10,S008,P011,C0079,5,827.0,4135.0,Card
T004045,2025-07-10,S003,P042,C0050,5,2856.0,14280.0,Card
T004169,2025-07-10,S009,P042,C0177,2,2856.0,5712.0,UPI
T003802,2025-07-10,S006,P009,C0032,1,14294.0,14294.0,UPI
T003285,2025-07-10,S008,P024,C0004,2,280.0,560.0,UPI
T003754,2025-07-10,S001,P028,C0017,1,764.0,764.0,Card
T000039,2025-07-10,S010,P029,C0024,2,817.0,1634.0,Card
T001050,2025-07-10,S005,P004,C0024,1,2746.0,2746.0,UPI
T000969,2025-07-10,S009,P020,C0112,1,1341.0,1341.0,Card
T000863,2025-07-10,S002,P020,C0148,2,1341.0,2682.0,Card
T000133,2025-07-11,S005,P015,C0022,1,1463.0,1463.0,UPI
T000584,2025-07-11,S009,P023,C0178,1,363.0,363.0,UPI
T003175,2025-07-11,S010,P005,C0141,1,3573.0,3573.0,Card
T004069,2025-07-11,S002,P016,C0132,1,1792.0,1792.0,UPI
T003355,2025-07-11,S003,P035,C0002,1,1777.0,1777.0,UPI
T004270,2025-07-11,S008,P018,C0042,2,2484.0,4968.0,UPI
T002177,2025-07-11,S005,P028,C0134,2,764.0,1528.0,UPI
T000230,2025-07-11,S007,P025,C0030,4,227.0,908.0,UPI
T003850,2025-07-12,S007,P042,C0041,5,2856.0,14280.0,Cash
T002098,2025-07-12,S008,P028,C0141,4,764.0,3056.0,Cash
T001139,2025-07-12,S008,P029,C0184,1,817.0,817.0,Card
T004036,2025-07-12,S007,P018,C0151,4,2484.0,9936.0,Card
T003760,2025-07-12,S010,P003,C0052,5,8600.0,43000.0,UPI
T002322,2025-07-12,S001,P007,C0183,3,9089.0,27267.0,Wallet
T000176,2025-07-12,S002,P039,C0086,2,2600.0,5200.0,Card
T002800,2025-07-12,S001,P004,C0079,5,2746.0,13730.0,Wallet
T002884,2025-07-12,S008,P047,C0144,1,4143.0,4143.0,UPI
T002676,2025-07-12,S004,P015,C0183,1,1463.0,1463.0,Wallet
T000903,2025-07-12,S004,P038,C0058,1,563.0,563.0,UPI
T001199,2025-07-12,S001,P006,C0173,2,14885.0,29770.0,Wallet
T003171,2025-07-12,S001,P034,C0175,1,2077.0,2077.0,UPI
T003282,2025-07-12,S009,P036,C0093,1,1511.0,1511.0,Cash
T001591,2025-07-12,S008,P032,C0077,1,798.0,798.0,UPI
T000509,2025-07-12,S009,P038,C0175,1,563.0,563.0,UPI
T000962,2025-07-13,S003,P011,C0038,3,827.0,2481.0,UPI
T003709,2025-07-13,S007,P016,C0136,1,1792.0,1792.0,UPI
T002643,2025-07-13,S008,P034,C0123,1,2077.0,2077.0,Card
T004933,2025-07-13,S010,P039,C0090,5,2600.0,13000.0,Card
T002944,2025-07-13,S009,P041,C0180,3,2912.0,8736.0,UPI
T001506,2025-07-13,S002,P026,C0145,1,765.0,765.0,Wallet
T004107,2025-07-13,S008,P017,C0129,2,2677.0,5354.0,Card
T004140,2025-07-13,S010,P042,C0068,4,2856.0,11424.0,Wallet
T003642,2025-07-13,S008,P011,C0148,2,827.0,1654.0,Wallet
T000323,2025-07-13,S003,P038,C0084,5,563.0,2815.0,Card
T004143,2025-07-13,S002,P033,C0036,4,2395.0,9580.0,Wallet
T002915,2025-07-13,S007,P004,C0084,2,2746.0,5492.0,Wallet
T001960,2025-07-13,S005,P011,C0199,2,827.0,1654.0,UPI
T004478,2025-07-13,S001,P008,C0057,5,7538.0,37690.0,UPI
T001404,2025-07-14,S010,P046,C0039,4,2159.0,8636.0,Card
T003192,2025-07-14,S002,P004,C0090,4,2746.0,10984.0,Card
T000086,2025-07-14,S004,P038,C0007,1,563.0,563.0,Card
T000549,2025-07-14,S006,P008,C0001,2,7538.0,15076.0,UPI
T002273,2025-07-14,S005,P023,C0054,4,363.0,1452.0,Cash
T004999,2025-07-14,S005,P020,C0197,1,1341.0,1341.0,Cash
T004380,2025-07-14,S010,P016,C0035,3,1792.0,5376.0,Card
T002185,2025-07-14,S010,P007,C0089,5,9089.0,45445.0,Card
T002939,2025-07-14,S001,P043,C0041,1,3092.0,3092.0,Wallet
T003609,2025-07-14,S010,P013,C0143,2,1725.0,3450.0,Card
T003585,2025-07-14,S009,P009,C0142,1,14294.0,14294.0,Wallet
T002395,2025-07-14,S001,P037,C0037,5,924.0,4620.0,Card
T000843,2025-07-15,S008,P014,C0110,3,3156.0,9468.0,Card
T001521,2025-07-15,S007,P018,C0067,3,2484.0,7452.0,Wallet
T000092,2025-07-15,S002,P041,C0200,5,2912.0,14560.0,Card
T003232,2025-07-15,S007,P010,C0153,5,1769.0,8845.0,Cash
T004919,2025-07-15,S010,P010,C0129,1,1769.0,1769.0,Cash
T004992,2025-07-15,S006,P046,C0024,5,2159.0,10795.0,Cash
T001412,2025-07-15,S002,P002,C0051,5,15628.0,78140.0,Wallet
T001368,2025-07-15,S006,P018,C0062,1,2484.0,2484.0,UPI
T003391,2025-07-15,S004,P015,C0048,3,1463.0,4389.0,Card
T002834,2025-07-15,S002,P022,C0078,2,250.0,500.0,UPI
T002876,2025-07-15,S001,P028,C0144,3,764.0,2292.0,Wallet
T001880,2025-07-15,S009,P025,C0048,1,227.0,227.0,UPI
T001270,2025-07-15,S010,P022,C0021,3,250.0,750.0,Card
T004268,2025-07-15,S010,P032,C0054,1,798.0,798.0,UPI
T000678,2025-07-15,S006,P028,C0028,3,764.0,2292.0,UPI
T003098,2025-07-15,S007,P031,C0176,1,2539.0,2539.0,Wallet
T000511,2025-07-16,S007,P008,C0180,1,7538.0,7538.0,UPI
T002732,2025-07-16,S003,P014,C0141,5,3156.0,15780.0,Card
T002960,2025-07-16,S004,P008,C0197,1,7538.0,7538.0,Wallet
T000979,2025-07-16,S003,P006,C0085,1,14885.0,14885.0,Card
T003236,2025-07-16,S003,P024,C0009,1,280.0,280.0,Card
T002520,2025-07-16,S002,P016,C0145,1,1792.0,1792.0,UPI
T003774,2025-07-16,S004,P032,C0085,1,798.0,798.0,Cash
T004908,2025-07-16,S007,P004,C0103,4,2746.0,10984.0,Cash
T002829,2025-07-16,S010,P021,C0071,5,735.0,3675.0,Card
T001653,2025-07-17,S009,P004,C0061,5,2746.0,13730.0,Cash
T001162,2025-07-17,S006,P050,C0113,5,3376.0,16880.0,UPI
T004262,2025-07-17,S001,P022,C0144,1,250.0,250.0,UPI
T002511,2025-07-17,S002,P001,C0077,1,8801.0,8801.0,UPI
T004320,2025-07-17,S008,P014,C0200,1,3156.0,3156.0,UPI
T001420,2025-07-17,S001,P013,C0059,1,1725.0,1725.0,Card
T004953,2025-07-17,S009,P036,C0094,1,1511.0,1511.0,UPI
T003416,2025-07-17,S008,P035,C0118,1,1777.0,1777.0,UPI
T000446,2025-07-17,S006,P027,C0081,1,713.0,713.0,Card
T003191,2025-07-17,S002,P040,C0080,1,1803.0,1803.0,UPI
T002003,2025-07-17,S007,P039,C0190,1,2600.0,2600.0,Cash
T002492,2025-07-17,S008,P019,C0070,1,1613.0,1613.0,UPI
T002767,2025-07-17,S005,P044,C0076,1,346.0,346.0,UPI
T001011,2025-07-17,S008,P039,C0065,1,2600.0,2600.0,UPI
T002909,2025-07-17,S004,P036,C0041,1,1511.0,1511.0,Card
T002662,2025-07-18,S006,P030,C0192,1,329.0,329.0,Card
T004832,2025-07-18,S005,P032,C0108,4,798.0,3192.0,Cash
T000103,2025-07-18,S006,P012,C0115,2,2724.0,5448.0,Wallet
T001524,2025-07-18,S002,P010,C0055,5,1769.0,8845.0,UPI
T002969,2025-07-18,S006,P022,C0046,1,250.0,250.0,UPI
T003733,2025-07-18,S008,P030,C0090,2,329.0,658.0,UPI
T000158,2025-07-18,S008,P029,C0186,1,817.0,817.0,Cash
T003534,2025-07-18,S009,P030,C0134,3,329.0,987.0,Card
T004188,2025-07-18,S004,P043,C0006,5,3092.0,15460.0,UPI
T000421,2025-07-18,S001,P044,C0145,1,346.0,346.0,Card
T003410,2025-07-18,S003,P043,C0113,1,3092.0,3092.0,Card
T000166,2025-07-18,S009,P004,C0043,3,2746.0,8238.0,Cash
T000093,2025-07-19,S009,P050,C0004,4,3376.0,13504.0,Cash
T001612,2025-07-19,S008,P004,C0104,5,2746.0,13730.0,Cash
T000104,2025-07-19,S003,P006,C0008,5,14885.0,74425.0,UPI
T004631,2025-07-19,S008,P018,C0085,1,2484.0,2484.0,Cash
T001978,2025-07-19,S002,P027,C0092,1,713.0,713.0,UPI
T002981,2025-07-19,S006,P035,C0035,1,1777.0,1777.0,UPI
T000293,2025-07-19,S009,P047,C0124,2,4143.0,8286.0,UPI
T002760,2025-07-19,S007,P036,C0102,2,1511.0,3022.0,UPI
T002987,2025-07-19,S006,P043,C0051,1,3092.0,3092.0,Card
T003859,2025-07-19,S003,P035,C0041,4,1777.0,7108.0,UPI
T002257,2025-07-19,S006,P039,C0143,3,2600.0,7800.0,UPI
T000282,2025-07-19,S001,P001,C0192,3,8801.0,26403.0,Card
T002104,2025-07-19,S008,P002,C0076,2,15628.0,31256.0,Cash
T000918,2025-07-19,S006,P041,C0096,1,2912.0,2912.0,UPI
T000616,2025-07-19,S001,P038,C0200,2,563.0,1126.0,Card
T001052,2025-07-19,S005,P008,C0033,3,7538.0,22614.0,UPI
T003695,2025-07-19,S002,P022,C0089,3,250.0,750.0,Card
T003626,2025-07-19,S004,P036,C0098,4,1511.0,6044.0,Wallet
T001145,2025-07-19,S009,P038,C0066,2,563.0,1126.0,Card
T003364,2025-07-19,S006,P045,C0107,4,1526.0,6104.0,Cash
T003592,2025-07-19,S002,P021,C0138,2,735.0,1470.0,Wallet
T000954,2025-07-20,S002,P008,C0182,2,7538.0,15076.0,Card
T004967,2025-07-20,S003,P007,C0027,1,9089.0,9089.0,Cash
T003652,2025-07-20,S002,P022,C0010,3,250.0,750.0,Card
T004845,2025-07-20,S004,P015,C0182,2,1463.0,2926.0,Cash
T001258,2025-07-20,S010,P047,C0003,1,4143.0,4143.0,Card
T004286,2025-07-20,S003,P044,C0014,1,346.0,346.0,Card
T000623,2025-07-20,S006,P050,C0157,2,3376.0,6752.0,UPI
T000441,2025-07-21,S005,P043,C0186,1,3092.0,3092.0,Card
T003495,2025-07-21,S007,P033,C0045,2,2395.0,4790.0,Card
T004115,2025-07-21,S001,P020,C0030,1,1341.0,1341.0,UPI
T003657,2025-07-21,S003,P043,C0066,3,3092.0,9276.0,Card
T004293,2025-07-21,S008,P047,C0088,5,4143.0,20715.0,Card
T000619,2025-07-21,S002,P031,C0080,5,2539.0,12695.0,UPI
T002825,2025-07-21,S002,P049,C0122,2,2283.0,4566.0,UPI
T002440,2025-07-21,S007,P039,C0191,5,2600.0,13000.0,UPI
T002092,2025-07-21,S009,P044,C0011,2,346.0,692.0,Cash
T002421,2025-07-21,S004,P027,C0052,1,713.0,713.0,UPI
T001997,2025-07-21,S006,P047,C0051,3,4143.0,12429.0,UPI
T004177,2025-07-21,S006,P007,C0058,1,9089.0,9089.0,Card
T003342,2025-07-21,S003,P011,C0175,1,827.0,827.0,UPI
T001128,2025-07-21,S008,P026,C0130,4,765.0,3060.0,Wallet
T004956,2025-07-21,S008,P040,C0089,1,1803.0,1803.0,UPI
T004916,2025-07-21,S009,P036,C0042,1,1511.0,1511.0,UPI
T001824,2025-07-22,S006,P039,C0048,3,2600.0,7800.0,Cash
T004456,2025-07-22,S007,P009,C0141,4,14294.0,57176.0,Card
T003897,2025-07-22,S007,P040,C0166,5,1803.0,9015.0,UPI
T001829,2025-07-22,S001,P008,C0126,5,7538.0,37690.0,UPI
T000255,2025-07-22,S005,P011,C0069,4,827.0,3308.0,Cash
T001753,2025-07-22,S006,P010,C0142,2,1769.0,3538.0,Cash
T001100,2025-07-22,S004,P038,C0150,2,563.0,1126.0,UPI
T003028,2025-07-22,S001,P043,C0077,2,3092.0,6184.0,UPI
T004851,2025-07-22,S007,P022,C0101,2,250.0,500.0,UPI
T002149,2025-07-22,S004,P001,C0084,2,8801.0,17602.0,Card
T003533,2025-07-22,S008,P003,C0069,4,8600.0,34400.0,Card
T004490,2025-07-22,S007,P047,C0190,4,4143.0,16572.0,Card
T003513,2025-07-22,S002,P040,C0190,5,1803.0,9015.0,Card
T003501,2025-07-22,S008,P027,C0012,5,713.0,3565.0,UPI
T001428,2025-07-22,S003,P027,C0086,1,713.0,713.0,Card
T001297,2025-07-22,S006,P041,C0081,1,2912.0,2912.0,Card
T003158,2025-07-22,S001,P004,C0063,3,2746.0,8238.0,Cash
T004025,2025-07-23,S007,P038,C0048,2,563.0,1126.0,UPI
T002559,2025-07-23,S004,P036,C0087,1,1511.0,1511.0,UPI
T000051,2025-07-23,S010,P043,C0003,1,3092.0,3092.0,Card
T000529,2025-07-23,S010,P006,C0086,5,14885.0,74425.0,Wallet
T000110,2025-07-23,S009,P009,C0052,1,14294.0,14294.0,Wallet
T003377,2025-07-23,S004,P011,C0042,2,827.0,1654.0,UPI
T004889,2025-07-23,S010,P047,C0165,5,4143.0,20715.0,Wallet
T002173,2025-07-23,S003,P016,C0089,1,1792.0,1792.0,Cash
T004614,2025-07-23,S002,P045,C0183,5,1526.0,7630.0,UPI
T004246,2025-07-23,S007,P037,C0021,1,924.0,924.0,Wallet
T001622,2025-07-23,S009,P049,C0021,1,2283.0,2283.0,Card
T001165,2025-07-23,S009,P021,C0094,3,735.0,2205.0,UPI
T002141,2025-07-23,S003,P014,C0002,1,3156.0,3156.0,Card
T003124,2025-07-23,S004,P012,C0045,1,2724.0,2724.0,UPI
T000642,2025-07-23,S001,P021,C0161,2,735.0,1470.0,Wallet
T001013,2025-07-23,S005,P030,C0045,1,329.0,329.0,Card
T001528,2025-07-24,S008,P031,C0011,4,2539.0,10156.0,UPI
T004928,2025-07-24,S010,P019,C0151,1,1613.0,1613.0,UPI
T000971,2025-07-24,S005,P013,C0169,4,1725.0,6900.0,UPI
T000096,2025-07-24,S002,P010,C0123,1,1769.0,1769.0,Wallet
T004779,2025-07-24,S003,P029,C0035,1,817.0,817.0,Cash
T000769,2025-07-24,S006,P015,C0073,4,1463.0,5852.0,Wallet
T001444,2025-07-24,S010,P041,C0115,1,2912.0,2912.0,Card
T004971,2025-07-24,S010,P050,C0018,2,3376.0,6752.0,Card
T002438,2025-07-24,S008,P008,C0077,2,7538.0,15076.0,UPI
T004704,2025-07-24,S001,P043,C0071,1,3092.0,3092.0,UPI
T004336,2025-07-24,S006,P038,C0160,1,563.0,563.0,UPI
T002557,2025-07-25,S008,P016,C0040,1,1792.0,1792.0,UPI
T002917,2025-07-25,S007,P009,C0003,1,14294.0,14294.0,UPI
T002931,2025-07-25,S008,P029,C0117,2,817.0,1634.0,Cash
T001080,2025-07-25,S001,P024,C0154,2,280.0,560.0,Cash
T004975,2025-07-25,S009,P030,C0105,2,329.0,658.0,Card
T003034,2025-07-25,S005,P021,C0030,1,735.0,735.0,UPI
T001604,2025-07-25,S006,P023,C0125,2,363.0,726.0,Cash
T004935,2025-07-25,S006,P042,C0032,5,2856.0,14280.0,UPI
T000952,2025-07-25,S003,P005,C0008,1,3573.0,3573.0,Wallet
T003096,2025-07-25,S003,P013,C0102,1,1725.0,1725.0,UPI
T003941,2025-07-25,S001,P003,C0041,3,8600.0,25800.0,UPI
T004610,2025-07-25,S003,P045,C0079,4,1526.0,6104.0,UPI
T003999,2025-07-25,S006,P049,C0105,2,2283.0,4566.0,Cash
T003949,2025-07-25,S005,P006,C0023,2,14885.0,29770.0,UPI
T003284,2025-07-25,S010,P014,C0083,1,3156.0,3156.0,UPI
T003478,2025-07-25,S002,P047,C0128,2,4143.0,8286.0,UPI
T000002,2025-07-25,S003,P047,C0100,4,4143.0,16572.0,Wallet
T003332,2025-07-25,S006,P016,C0084,2,1792.0,3584.0,UPI
T002201,2025-07-25,S006,P049,C0154,1,2283.0,2283.0,UPI
T000409,2025-07-25,S006,P026,C0075,1,765.0,765.0,Card
T001351,2025-07-25,S007,P014,C0147,5,3156.0,15780.0,UPI
T003324,2025-07-26,S003,P022,C0190,1,250.0,250.0,Card
T001435,2025-07-26,S006,P002,C0056,2,15628.0,31256.0,Cash
T001710,2025-07-26,S005,P007,C0022,2,9089.0,18178.0,Card
T001345,2025-07-26,S003,P047,C0161,1,4143.0,4143.0,Wallet
T003494,2025-07-26,S007,P011,C0131,5,827.0,4135.0,UPI
T001231,2025-07-26,S004,P006,C0105,1,14885.0,14885.0,UPI
T003039,2025-07-26,S004,P045,C0127,4,1526.0,6104.0,Card
T004954,2025-07-26,S007,P046,C0083,4,2159.0,8636.0,UPI
T003320,2025-07-26,S010,P008,C0125,5,7538.0,37690.0,UPI
T000872,2025-07-26,S007,P035,C0100,4,1777.0,7108.0,Cash
T003976,2025-07-26,S009,P038,C0140,1,563.0,563.0,Card
T004785,2025-07-26,S007,P035,C0148,5,1777.0,8885.0,UPI
T004927,2025-07-26,S006,P003,C0138,3,8600.0,25800.0,UPI
T004649,2025-07-26,S009,P018,C0192,4,2484.0,9936.0,Card
T004771,2025-07-26,S003,P038,C0006,1,563.0,563.0,Wallet
T002051,2025-07-26,S008,P046,C0146,5,2159.0,10795.0,Card
T001795,2025-07-26,S005,P022,C0182,5,250.0,1250.0,UPI
T002456,2025-07-27,S002,P019,C0163,4,1613.0,6452.0,Wallet
T000593,2025-07-27,S006,P041,C0142,3,2912.0,8736.0,Card
T001917,2025-07-27,S008,P038,C0041,1,563.0,563.0,Card
T000474,2025-07-27,S010,P032,C0086,4,798.0,3192.0,UPI
T003233,2025-07-27,S009,P050,C0099,3,3376.0,10128.0,Card
T002172,2025-07-27,S008,P026,C0014,3,765.0,2295.0,Card
T004063,2025-07-27,S005,P044,C0097,1,346.0,346.0,UPI
T003420,2025-07-27,S010,P050,C0151,1,3376.0,3376.0,Card
T000665,2025-07-27,S008,P007,C0154,5,9089.0,45445.0,Card
T002292,2025-07-27,S006,P028,C0058,2,764.0,1528.0,UPI
T002628,2025-07-27,S006,P006,C0073,2,14885.0,29770.0,UPI
T001975,2025-07-27,S005,P050,C0127,5,3376.0,16880.0,Card
T004917,2025-07-27,S009,P025,C0025,2,227.0,454.0,UPI
T002871,2025-07-27,S002,P028,C0197,2,764.0,1528.0,Card
T004170,2025-07-27,S004,P019,C0092,3,1613.0,4839.0,UPI
T004337,2025-07-28,S007,P007,C0102,2,9089.0,18178.0,Card
T001309,2025-07-28,S009,P015,C0034,4,1463.0,5852.0,UPI
T004224,2025-07-28,S008,P023,C0030,2,363.0,726.0,UPI
T004978,2025-07-28,S002,P033,C0094,1,2395.0,2395.0,Card
T003337,2025-07-28,S004,P022,C0131,2,250.0,500.0,Card
T002572,2025-07-28,S003,P008,C0022,2,7538.0,15076.0,Cash
T002254,2025-07-28,S009,P028,C0123,2,764.0,1528.0,Cash
T002176,2025-07-28,S009,P041,C0151,2,2912.0,5824.0,UPI
T000551,2025-07-28,S006,P032,C0175,1,798.0,798.0,Card
T003264,2025-07-29,S004,P035,C0100,1,1777.0,1777.0,Cash
T001496,2025-07-29,S010,P042,C0032,2,2856.0,5712.0,UPI
T004969,2025-07-29,S005,P003,C0016,5,8600.0,43000.0,Cash
T000211,2025-07-29,S007,P042,C0103,1,2856.0,2856.0,Cash
